Split,MSE,RMSE,MAE,R2
80/20,4908476721.156641,70060.52184473537,50670.73824097219,0.6254240620553587
70/30,4733529273.09253,68800.64878395064,50078.098841565545,0.6393611711434412
60/40,4842233961.606459,69586.16214166764,50591.220049740434,0.6382897167351426
